des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2004 SC56,27,2452557.272195512,2002-Oct-09 18:32,0.0408540265212135,0.04085342133248,0.0408546317105508,11.1709911789336,11.1651513609177,< 00:01,22.7
2025 US1,3,2452557.553764099,2002-Oct-10 01:17,0.0437784659476618,0.015223928778635,0.183886121383527,9.25948003371245,9.25290467505997,9_12:45,25.21
2019 GC20,6,2452558.183164891,2002-Oct-10 16:24,0.042845794008041,0.0427785240451013,0.0429132500044571,13.3787068894699,13.3740578258751,00:13,22.26
2025 SC29,2,2452561.243817451,2002-Oct-13 17:51,0.0394500330128688,0.0145179034781125,0.0990488651791427,8.77644949724784,8.76875045576709,1_10:55,26.50
2002 TS69,15,2452562.187827275,2002-Oct-14 16:30,0.0310934205488753,0.0310929640276412,0.0310938770703127,4.7507807124915,4.7327087346111,< 00:01,24.4
2019 TW,7,2452563.110690139,2002-Oct-15 14:39,0.034494311251084,0.0184046519726267,0.0505837151813885,4.3174746906981,4.29954644826203,5_17:48,27.78
2021 NM,3,2452564.278250946,2002-Oct-16 18:41,0.0436655377888704,0.0348120474829471,0.11867572798351,15.8684972952872,15.8646514627311,2_19:01,26.23
2017 UA,3,2452567.003264915,2002-Oct-19 12:05,0.0238043274259615,0.00661291328968926,0.0413999337663172,7.28735362159378,7.2719775634702,1_06:56,28.5
2015 BM510,16,2452571.294786558,2002-Oct-23 19:04,0.0262473114483046,0.0262467582790922,0.0262478646371426,3.57014822968064,3.54159986982017,< 00:01,25.1
306383,57,2452571.472302583,2002-Oct-23 23:20,0.0412309481637899,0.0412306162808461,0.0412312800468649,15.7069722229959,15.7028573782861,< 00:01,21.49
2024 TR6,13,2452572.486850013,2002-Oct-24 23:41,0.0322661537448518,0.0233369082481279,0.0418882835908463,15.3678295781162,15.36245519566,00:31,24.50
2019 UL,9,2452575.469446179,2002-Oct-27 23:16,0.0173865141341076,0.0133798640945677,0.0214961171195957,3.60896754378608,3.56625113905536,6_01:35,29.1
